representation	view	split	label	n	accuracy	balanced_accuracy	macro_f1	n_splits
tfidf_char_3_5	context_only_10	random	function	688	0.7427325581395349	0.557242626426389	0.5331086598957914	5.0
tfidf_char_3_5	context_marker_10	random	function	688	0.7398255813953488	0.550092494439941	0.527833051533032	5.0
tfidf_char_3_5	context_marker_scope_10	random	function	688	0.7441860465116279	0.5470474527654798	0.5273471044701548	5.0
tfidf_char_3_5	context_only_20	random	function	688	0.7165697674418605	0.5810209723348091	0.5362647466497064	5.0
tfidf_char_3_5	context_marker_20	random	function	688	0.7209302325581395	0.5889921223836545	0.5420393559928444	5.0
tfidf_char_3_5	context_marker_scope_20	random	function	688	0.7180232558139535	0.5983662779821662	0.5453455417484194	5.0
majority	none	lemma_group	function	688	0.8851744186046512	0.5	0.46954510408635314	5.0
tfidf_char_3_5	marker_only	lemma_group	function	688	0.8008720930232558	0.5790671571989774	0.5682647868486023	5.0
tfidf_char_3_5	marker_scope	lemma_group	function	688	0.8561046511627907	0.5001039263370124	0.48962571653366305	5.0
tfidf_char_3_5	context_only_1	lemma_group	function	688	0.8212209302325582	0.4914156845627819	0.4881169133614406	5.0
tfidf_char_3_5	context_marker_1	lemma_group	function	688	0.8343023255813954	0.49880484712435824	0.49479542409564053	5.0
tfidf_char_3_5	context_marker_scope_1	lemma_group	function	688	0.8255813953488372	0.5104030263349338	0.5104364326375711	5.0
tfidf_char_3_5	context_only_3	lemma_group	function	688	0.7892441860465116	0.48436947891334625	0.4844524374299106	5.0
tfidf_char_3_5	context_marker_3	lemma_group	function	688	0.7732558139534884	0.4753382802269751	0.47649985367281245	5.0
tfidf_char_3_5	context_marker_scope_3	lemma_group	function	688	0.7747093023255814	0.4816673941510257	0.4824682730338987	5.0
tfidf_char_3_5	context_only_5	lemma_group	function	688	0.748546511627907	0.4723971648895263	0.4741246382574502	5.0
tfidf_char_3_5	context_marker_5	lemma_group	function	688	0.752906976744186	0.4748602190767184	0.4763235188767104	5.0
tfidf_char_3_5	context_marker_scope_5	lemma_group	function	688	0.7645348837209303	0.48693645943755065	0.48710585896515546	5.0
tfidf_char_3_5	context_only_10	lemma_group	function	688	0.7427325581395349	0.4856373802248966	0.48438234360114324	5.0
tfidf_char_3_5	context_marker_10	lemma_group	function	688	0.7427325581395349	0.49114547608654985	0.48859183853451427	5.0
tfidf_char_3_5	context_marker_scope_10	lemma_group	function	688	0.7383720930232558	0.49969861362266427	0.4942416074491546	5.0
